id,fighter_name,weight_pounds,date_of_birth,height_feet,height_inches
980,Rafael Fiziev,155.0,1993-03-05,5.0,8.0
981,Luke Flores,155.0,1988-03-17,6.0,0.0
982,Jon Fitch,170.0,1978-02-24,6.0,0.0
983,Cody Floyd,,1988-07-18,,
984,Mal Foki,220.0,1976-03-16,5.0,7.0
985,Bobby Flynn,170.0,,,
986,Kenny Florian,145.0,1976-05-26,5.0,10.0
987,Caros Fodor,155.0,1984-01-07,5.0,9.0
988,Matt Foki,220.0,1976-03-16,5.0,7.0
989,AJ Fonseca,145.0,,5.0,4.0
990,Rob Font,135.0,1987-06-25,5.0,8.0
991,Jesse Forbes,185.0,1984-10-24,6.0,2.0
992,Claudionor Fontinelle,185.0,,5.0,5.0
993,Sterling Ford,155.0,1986-03-12,5.0,10.0
994,Codale Ford,170.0,1979-05-13,5.0,9.0
995,Marcel Fortuna,205.0,1985-10-22,6.0,1.0
996,Jussier Formiga,125.0,1985-04-14,5.0,5.0
997,Renee Forte,155.0,1987-03-27,5.0,7.0
998,Brian Foster,170.0,1984-04-03,5.0,9.0
999,Francisco France,205.0,1983-01-21,6.0,0.0
1000,John Franchi,145.0,1982-07-16,5.0,6.0
1001,Brandon Foxworth,145.0,1979-04-28,5.0,11.0
1002,Mason Fowler,170.0,,5.0,11.0
1003,Hermes Franca,155.0,1974-08-26,5.0,6.0
1004,Glaico Franca Moreira,155.0,1991-02-28,6.0,0.0
1005,Xavier Foupa-Pokam,185.0,1982-07-03,6.0,1.0
1006,Rich Franklin,185.0,1974-10-05,6.0,1.0
1007,Zane Frazier,250.0,,6.0,5.0
1008,Zoila Frausto,135.0,1983-12-10,5.0,4.0
1009,Justin Frazier,265.0,1989-06-15,6.0,0.0
1010,Gary Frazier,245.0,1988-03-31,6.0,0.0
1011,Stephanie Frausto,115.0,1990-09-20,5.0,2.0
1012,Ian Freeman,225.0,1966-11-10,5.0,11.0
1013,Jason Freeman,225.0,1976-09-02,6.0,2.0
1014,Willamy Freire,155.0,1987-07-28,5.0,8.0
1015,Patricio Freire,145.0,1987-07-07,5.0,5.0
1016,Patricky Freire,155.0,1986-06-01,5.0,7.0
1017,Jeremy  Freitag,205.0,,6.0,1.0
1018,Rafael Freitas,205.0,,,
1019,Clay French,161.0,1980-10-07,5.0,7.0
1020,Donavon Frelow,135.0,1985-01-20,5.0,7.0
1021,Mike French,145.0,1975-05-29,5.0,10.0
1022,Matt Frevola,155.0,1990-06-11,5.0,9.0
1023,Jinh Yu Frey,115.0,1985-05-20,5.0,3.0
1024,Artem Frolov,185.0,1991-09-07,5.0,10.0
1025,Sarah Frota,125.0,1987-04-14,5.0,6.0
1026,Don Frye,219.0,1965-11-23,6.0,1.0
1027,Katsuhisa Fujii,205.0,1972-08-15,6.0,0.0
1028,Tony Fryklund,185.0,1971-03-26,6.0,0.0
1029,Jesse Fujarczyk,225.0,1983-01-28,6.0,4.0
1030,Keisuke Fujiwara,139.0,1982-09-17,5.0,6.0
1031,Megumi Fujii,113.0,1974-04-26,5.0,3.0
1032,Kazuyuki Fujita,235.0,1970-10-16,6.0,0.0
1033,Riki Fukuda,185.0,1981-01-06,6.0,0.0
1034,Masio Fullen,145.0,1986-10-06,5.0,10.0
1035,Sam Fulton,,,,
1036,Masakatsu Funaki,185.0,1969-03-13,6.0,0.0
1037,Travis Fulton,240.0,1977-05-29,6.0,0.0
1038,Ricardo Funch,170.0,1980-08-14,5.0,10.0
1039,Katsuaki Furuki,168.0,1980-11-10,6.0,0.0
1040,Gustavo Gabriel,125.0,1994-04-01,5.0,6.0
1041,James Gabert,178.0,,,
1042,Justin Gaethje,155.0,1988-11-14,5.0,11.0
1043,Alavutdin Gadjiev,185.0,1982-06-23,6.0,2.0
1044,Claudia Gadelha,115.0,1988-12-07,5.0,4.0
1045,Sheila Gaff,135.0,1989-12-29,5.0,5.0
1046,Muin Gafurov,135.0,1996-05-17,5.0,7.0
1047,Mitch Gagnon,135.0,1984-10-10,5.0,5.0
1048,Brandon Gaines,185.0,1982-02-24,6.0,3.0
1049,Travis Galbraith,170.0,1981-05-18,6.0,0.0
1050,Mickey Gall,170.0,1992-01-22,6.0,2.0
1051,Dave Galera,135.0,1978-01-12,5.0,11.0
1052,Daniel Gallemore,265.0,,6.0,5.0
1053,Tom Gallicchio,170.0,1986-09-23,5.0,10.0
1054,Turrell Galloway,145.0,1976-08-11,5.0,3.0
1055,Zelg Galesic,185.0,1979-02-16,6.0,2.0
1056,Eric Galvan,155.0,,,
1057,Lucas Gamaza,170.0,,,
1058,Marcos Galvao,135.0,1981-06-23,5.0,7.0
1059,Andre Galvao,168.0,1982-09-29,5.0,7.0
1060,Joey Gambino,145.0,1988-10-26,5.0,7.0
1061,Mateusz Gamrot,155.0,1990-12-11,5.0,10.0
1062,Shamil Gamzatov,205.0,1990-08-09,6.0,2.0
1063,Manvel Gamburyan,135.0,1981-05-08,5.0,5.0
1064,Ariel Gandulla,205.0,1968-05-07,5.0,11.0
1065,Eduardo Garagorri,145.0,1989-05-28,5.0,9.0
1066,Sean Gannon,265.0,,6.0,3.0
1067,Ciryl Gane,245.0,1990-04-12,6.0,4.0
1068,Cody Garbrandt,135.0,1991-07-07,5.0,8.0
1069,Leonard Garcia,145.0,1979-07-14,5.0,10.0
1070,Alejandro Garcia,145.0,1980-10-20,5.0,7.0
1071,Edgar Garcia,170.0,1984-02-22,5.0,10.0
1072,Nick Garcia,125.0,,5.0,4.0
1073,Alex Garcia,170.0,1987-07-14,5.0,9.0
1074,Steve Garcia,155.0,1992-05-22,6.0,0.0
1075,Elias Garcia,125.0,1992-09-13,5.0,5.0
1076,Rafa Garcia,155.0,1994-08-05,5.0,7.0
1077,Rulon Gardner,265.0,1971-08-16,6.0,3.0
1078,David Gardner,155.0,1977-05-17,5.0,11.0
1079,Pablo Garza,145.0,1983-09-16,6.0,1.0
1080,Brian Gassaway,170.0,1972-08-07,6.0,1.0
1081,Azamat Gashimov,125.0,1990-04-07,5.0,6.0
1082,Willie Gates,125.0,1987-01-21,5.0,8.0
1083,Kelvin Gastelum,185.0,1991-10-24,5.0,9.0
1084,Louis Gaudinot,125.0,1984-08-28,5.0,3.0
1085,Melissa Gatto,135.0,1996-02-05,5.0,5.0
1086,Charlene Gellner,125.0,,5.0,2.0
1087,Chad George,135.0,1982-04-30,5.0,6.0
1088,Paul Georgieff,170.0,1982-09-22,6.0,2.0
1089,Brian Geraghty,155.0,1980-11-04,5.0,7.0
1090,Derek Getzel,155.0,,6.0,0.0
1091,Karine Gevorgyan,125.0,1989-03-09,5.0,4.0
1092,Christos Giagos,155.0,1990-01-23,5.0,10.0
1093,Darrel Gholar,194.0,1962-11-07,5.0,8.0
1094,Joe Giannetti,155.0,1995-07-05,6.0,0.0
1095,Tiki Ghosn,170.0,1977-02-09,5.0,10.0
1096,Nick Gibbons,155.0,,5.0,10.0
1097,James Giboo,170.0,1978-01-06,5.0,11.0
1098,Lance Gibson,185.0,1970-11-20,5.0,9.0
1099,Lee Gibson,155.0,1976-06-20,5.0,7.0
1100,Chase Gibson,155.0,1990-02-07,5.0,10.0
1101,Cody Gibson,135.0,1987-09-11,5.0,10.0
1102,Kenny Giddens,155.0,1985-01-24,5.0,11.0
1103,Thomas Gifford,155.0,1992-07-26,6.0,1.0
1104,Kultar Gill,154.0,1979-03-24,6.0,0.0
1105,Trevin Giles,185.0,1992-08-06,6.0,0.0
1106,Joey Gilbert,155.0,1976-06-05,5.0,11.0
1107,Gregor Gillespie,155.0,1986-11-13,5.0,7.0
1108,Jesse Gillespie,185.0,,,
1109,Jason Gilliam,170.0,1972-10-31,6.0,0.0
1110,Krishaun Gilmore,,,,
1111,Alex Gilpin,145.0,1992-03-26,5.0,7.0
1112,Bob Gilstrap,200.0,,6.0,3.0
1113,Demetrius Gioulacos,185.0,,5.0,11.0
1114,Billy Giovanella,125.0,1985-08-20,5.0,8.0
1115,He-Man Gipson,,,,
1116,Israel Giron,155.0,1974-01-16,5.0,8.0
1117,Jason Glaza,230.0,,6.0,0.0
1118,Joseph Gigliotti,185.0,1993-08-13,5.0,11.0
1119,Brandon Girtz,155.0,1985-03-06,5.0,7.0
1120,Mike Glenn,205.0,1977-10-09,,
1121,Rick Glenn,145.0,1989-04-12,6.0,0.0
1122,Clint Godfrey,135.0,1982-10-21,5.0,6.0
1123,Mark Godbeer,240.0,1983-11-22,6.0,4.0
1124,Jason Godsey,230.0,1964-01-01,6.0,2.0
1125,Jonny Goh,155.0,,5.0,11.0
1126,Hannah Goldy,125.0,1992-05-18,5.0,4.0
1127,Allan Goes,205.0,1971-04-20,6.0,0.0
1128,Marcelo Golm,249.0,1992-09-15,6.0,3.0
1129,Alan Gomez,155.0,,,
1130,Sergio Gomez,155.0,1982-04-29,5.0,6.0
1131,Frank Gomez,135.0,1986-03-31,5.0,10.0
1132,David Gomez,155.0,1983-08-08,,
1133,Ulysses Gomez,125.0,1983-05-25,5.0,6.0
1134,Edson Gomez,170.0,1991-02-23,5.0,8.0
1135,Joey Gomez,155.0,1989-08-29,5.0,10.0
1136,Luis Gomez,145.0,1995-01-28,5.0,7.0
1137,Silvana Gomez Juarez,125.0,1984-06-12,5.0,3.0
1138,Akihiro Gono,170.0,1974-10-07,5.0,7.0
1139,Takanori Gomi,155.0,1978-09-22,5.0,7.0
1140,Gabriel Gonzaga,242.0,1979-05-18,6.0,2.0
1141,Nick Gonzalez,155.0,1981-03-03,5.0,6.0
1142,Justin Gonzales,145.0,1991-04-28,5.0,9.0
1143,Fabian Gonzalez,135.0,,5.0,10.0
1144,Fernando Gonzalez,170.0,1983-09-15,5.0,9.0
1145,Lewis Gonzalez,170.0,1987-09-19,5.0,10.0
1146,Jorge Gonzalez,205.0,1984-02-29,6.0,2.0
1147,Jason Gonzalez,155.0,1990-02-28,6.0,2.0
1148,Kier Gooch,155.0,1986-04-21,,
1149,Pearl Gonzalez,115.0,1986-08-12,5.0,4.0
1150,Mikey Gonzalez,155.0,1985-08-13,5.0,11.0
1151,Jared Gooden,170.0,1993-12-05,6.0,0.0
1152,Lyman Good,170.0,1985-05-26,6.0,0.0
1153,Jordan Goodwin,155.0,,,
1154,Gary Goodridge,249.0,1966-01-17,6.0,3.0
1155,Tebaris Gordon,265.0,1988-07-19,6.0,1.0
1156,Gerard Gordeau,216.0,1959-03-30,6.0,5.0
1157,Eddie Gordon,185.0,1983-07-22,6.0,0.0
1158,Alex Gorgees,155.0,1995-08-11,6.0,2.0
1159,Malcolm Gordon,125.0,1990-05-19,5.0,7.0
1160,Jared Gordon,145.0,1988-09-06,5.0,9.0
1161,Tim Gorman,135.0,1983-04-29,5.0,5.0
1162,Thibault Gouti,155.0,1987-02-27,5.0,10.0
1163,Jonathan Goulet,170.0,1979-07-13,6.0,0.0
1164,Chase Gormley,265.0,1983-08-11,6.0,3.0
1165,Todd Gouwenberg,205.0,1974-09-25,6.0,1.0
1166,Wilson Gouveia,185.0,1978-10-03,6.0,1.0
1167,Justin Governale,145.0,,,
1168,Crosley Gracie,190.0,1979-07-18,5.0,9.0
1169,Daniel Gracie,225.0,1972-06-28,6.0,2.0
1170,Hugo Govea,,,,
1171,Renzo Gracie,185.0,1967-03-11,5.0,10.0
1172,Damian Grabowski,241.0,1980-05-12,6.0,1.0
1173,Ralph Gracie,183.0,1971-05-25,5.0,9.0
1174,Royce Gracie,175.0,1966-12-12,6.0,1.0
1175,Rickson Gracie,185.0,1958-11-20,5.0,10.0
1176,Ralek Gracie,210.0,1985-10-04,6.0,2.0
1177,Ryan Gracie,200.0,1974-08-14,5.0,9.0
1178,Royler Gracie,150.0,1965-12-06,5.0,8.0
1179,Rodrigo Gracie,183.0,1975-04-11,6.0,0.0
1180,Cesar Gracie,181.0,,5.0,10.0
1181,Rolles Gracie,242.0,1978-07-14,6.0,4.0
1182,Roger Gracie,185.0,1981-09-26,6.0,4.0
1183,Igor Gracie,170.0,1980-02-04,5.0,11.0
1184,Kron Gracie,145.0,1988-07-11,5.0,9.0
1185,Steven Graham,290.0,,6.0,1.0
1186,Miranda Granger,125.0,1992-04-13,5.0,7.0
1187,Scott Graham,185.0,,6.0,4.0
1188,Neiman Gracie,170.0,,6.0,0.0
1189,Davey Grant,135.0,1985-12-18,5.0,8.0
1190,TJ Grant,155.0,1984-02-26,5.0,10.0
1191,Tony Gravely,135.0,1991-09-28,5.0,5.0
1192,Alexa Grasso,125.0,1993-08-09,5.0,5.0
1193,Shelton Graves,255.0,1985-10-23,6.0,2.0
1194,Michael Graves,170.0,1991-01-08,5.0,10.0
1195,Kevin Gray,125.0,1985-05-03,5.0,4.0
1196,Dwight Grant,170.0,1984-09-14,6.0,1.0
1197,James Gray,135.0,1987-10-25,5.0,9.0
1198,Sam Greco,205.0,1967-05-03,6.0,2.0
1199,Max Griffin,170.0,1985-11-29,5.0,11.0
1200,Tyson Griffin,145.0,1984-04-20,5.0,6.0
1201,Gabe Green,170.0,1993-05-02,5.0,10.0
1202,Bobby Green,155.0,1986-09-09,5.0,10.0
1203,Matt Grice,145.0,1981-07-29,5.0,8.0
1204,Maurice Greene,258.0,1986-07-05,6.0,7.0
1205,Desmond Green,155.0,1989-10-11,5.0,10.0
1206,Forrest Griffin,205.0,1979-03-16,6.0,3.0
1207,Rodrigo Gripp de Sousa,205.0,,5.0,11.0
1208,Chuck Grigsby,205.0,1972-08-15,6.0,6.0
1209,Jordan Griffin,145.0,1990-02-28,5.0,10.0
1210,Chad Griggs,205.0,1978-05-15,6.0,1.0
1211,Maxim Grishin,220.0,1984-05-02,6.0,3.0
1212,Josh Grispi,145.0,1988-10-14,5.0,11.0
1213,Garrett Gross,155.0,1988-08-08,5.0,9.0
1214,Kendall Grove,185.0,1982-11-12,6.0,6.0
1215,Neil Grove,265.0,1971-01-18,6.0,6.0
1216,Wang Guan,145.0,1986-03-14,5.0,9.0
1217,Chris Gruetzemacher,155.0,1986-06-16,5.0,8.0
1218,Vik Grujic,170.0,1977-02-06,5.0,11.0
1219,Mike Grundy,145.0,1987-01-03,5.0,7.0
1220,Nandor Guelmino,230.0,1975-12-20,6.0,3.0
1221,Fabricio Guerreiro,145.0,1990-07-24,5.0,10.0
1222,Brad Gumm,170.0,,5.0,11.0
1223,Leonardo Guimaraes,185.0,1982-04-15,6.0,0.0
1224,Jason Guida,214.0,1977-08-04,5.0,10.0
1225,Shannon Gugerty,155.0,1981-12-30,5.0,10.0
1226,Clay Guida,155.0,1981-12-08,5.0,7.0
1227,Melvin Guillard,155.0,1983-03-30,5.0,9.0
1228,Marcelo Guimaraes,185.0,1983-06-25,6.0,0.0
1229,Chris Guillen,240.0,1972-12-09,6.0,0.0
1230,Fabio Gurgel,205.0,1970-01-18,6.0,0.0
1231,John Gunther,155.0,1985-11-24,5.0,9.0
1232,Jorge Gurgel,155.0,1977-01-25,5.0,7.0
1233,John Gunderson,155.0,1979-01-05,5.0,9.0
1234,Andre Gusmao,205.0,1977-05-19,6.0,0.0
1235,Alexander Gustafsson,205.0,1987-01-15,6.0,5.0
1236,Justin Guthrie,170.0,1981-01-19,6.0,1.0
1237,Horacio Gutierrez,145.0,1990-09-15,5.0,10.0
1238,Chris Gutierrez,145.0,1991-04-22,5.0,9.0
1239,Tim Hague,260.0,1983-05-09,6.0,4.0
1240,Steve Hadsel,170.0,,5.0,8.0
1241,Keith Hackney,200.0,1958-04-15,5.0,11.0
1242,Chelsea Hackett,125.0,1998-08-16,5.0,4.0
1243,Mike Guymon,170.0,1974-09-17,6.0,0.0
1244,Damir Hadzovic,155.0,1986-08-08,5.0,9.0
1245,Yazan Hajeh,145.0,1992-09-04,5.0,9.0
1246,Kevin Haley,205.0,,6.0,2.0
1247,Stoney Hale,,1979-10-18,6.0,0.0
1248,Ryan Hall,145.0,1985-02-22,5.0,10.0
1249,Tony Halme,300.0,1963-01-06,6.0,3.0
1250,Mark Hall,190.0,1961-01-26,6.0,0.0
1251,Dennis Hallman,155.0,1975-12-02,5.0,9.0
1252,Uriah Hall,185.0,1984-07-31,6.0,0.0
1253,Piotr Hallmann,155.0,1987-08-25,5.0,9.0
1254,Frank Hamaker,,,,
1255,Kazuhiro Hamanaka,185.0,1978-10-24,6.0,0.0
1256,Brandon Halsey,185.0,1986-09-16,6.0,0.0
1257,Seo Hee Ham,115.0,1987-03-08,5.0,2.0
1258,John Halverson,155.0,1972-09-08,5.0,9.0
1259,Jeremy Hamilton,185.0,1984-11-14,,
1260,Anthony Hamilton,260.0,1980-04-14,6.0,5.0
1261,Matt Hamill,205.0,1976-10-05,6.0,1.0
1262,CJ Hamilton,125.0,1986-10-07,5.0,7.0
1263,James Hammortree,185.0,1983-11-29,6.0,3.0
1264,Jared Hamman,185.0,1982-03-07,6.0,3.0
1265,Joachim Hansen,150.0,1979-05-26,5.0,7.0
1266,Nasrat Haqparast,155.0,1995-08-22,5.0,10.0
1267,Dean Hancock,155.0,,,
1268,Kay Hansen,115.0,1999-08-14,5.0,2.0
1269,Janay Harding,135.0,,,
1270,Scott Harper,185.0,1972-04-14,6.0,0.0
1271,Baru Harn,265.0,1977-10-24,,
1272,Antoni Hardonk,245.0,1976-02-05,6.0,4.0
1273,Dan Hardy,170.0,1982-05-17,6.0,0.0
1274,Greg Hardy,265.0,1988-07-28,6.0,5.0
1275,Gerry Harris,270.0,,6.0,8.0
1276,Phil Harris,125.0,1983-09-04,5.0,4.0
1277,Dhafir Harris,257.0,1977-08-04,,
1278,Collin Hart,185.0,1989-10-12,6.0,1.0
1279,Carlston Harris,170.0,1987-07-09,6.0,0.0
1280,Dale Hartt,155.0,1979-04-04,5.0,10.0
1281,Trevor Harris,145.0,,5.0,6.0
1282,Walt Harris,250.0,1983-06-10,6.0,5.0
1283,Gerald Harris,185.0,1979-11-19,5.0,11.0
1284,Luke Hartwig,,,,
1285,Hidehiko Hasegawa,170.0,1978-07-13,5.0,9.0
1286,Justin Haskins,170.0,1979-08-30,5.0,10.0
1287,Clay Harvison,170.0,1980-09-25,6.0,1.0
1288,Daiki Hata,139.0,1982-08-24,5.0,6.0
1289,Chris Haseman,205.0,1969-06-02,5.0,11.0
1290,Tomohiko Hashimoto,250.0,1977-08-16,6.0,0.0
1291,Takayo Hashi,135.0,1977-10-02,5.0,4.0
1292,Hayder Hassan,170.0,1982-10-20,5.0,10.0
1293,Del Hawkins,135.0,,5.0,5.0
1294,John Hathaway,170.0,1987-07-23,6.0,1.0
1295,Justin Hawes,205.0,1979-01-13,5.0,11.0
1296,Chris Hawk,205.0,1985-12-20,6.0,1.0
1297,Ryan Hayes,,,,
1298,Phil Hawes,185.0,1989-01-08,6.0,0.0
1299,Mike Hayes,230.0,1980-10-16,6.0,4.0
1300,Tommy Hayden,145.0,1986-03-11,5.0,9.0
1301,Gerric Hayes,,1980-10-29,5.0,10.0
1302,Josh Haynes,170.0,1977-07-30,5.0,9.0
1303,Dustin Hazelett,170.0,1986-04-29,6.0,1.0
1304,James Head,170.0,1984-02-09,6.0,1.0
1305,Pat Healy,155.0,1983-07-20,6.0,0.0
1306,Ryan Healy,155.0,1983-07-20,6.0,1.0
1307,Spencer Hearns,185.0,,5.0,11.0
1308,David Heath,205.0,1976-02-10,5.0,11.0
1309,Marcin Held,155.0,1992-01-18,5.0,9.0
1310,Delson Heleno,185.0,1977-11-16,5.0,11.0
1311,Chris Heatherly,155.0,1987-11-24,5.0,9.0
1312,Nick Hein,155.0,1984-04-24,5.0,6.0
1313,Ian Heinisch,185.0,1988-08-05,5.0,11.0
1314,Jake Hecht,170.0,1984-02-09,6.0,0.0
1315,Elisha Helsper,135.0,1983-02-06,5.0,6.0
1316,Josh Hendricks,235.0,1976-08-28,6.0,2.0
1317,Ron Henderson,125.0,,5.0,10.0
1318,Benson Henderson,170.0,1983-11-16,5.0,9.0
1319,Johny Hendricks,185.0,1983-09-12,5.0,9.0
1320,Dan Henderson,185.0,1970-08-24,5.0,11.0
1321,Matt Helm,155.0,,,
1322,Diego Henrique da Silva,185.0,1986-08-22,6.0,2.0
1323,Luis Henrique,243.0,1993-08-21,6.0,2.0
1324,Danny Henry,145.0,1988-07-17,6.0,0.0
1325,TJ Hepburn,155.0,,5.0,7.0
1326,Jai Herbert,155.0,1988-05-13,6.0,1.0
1327,Ed Herman,205.0,1980-10-02,6.0,1.0
1328,Dave Herman,242.0,1984-10-03,6.0,4.0
1329,Noe Hernandez,,,,
1330,Jack Hermansson,185.0,1988-06-10,6.0,1.0
1331,Cory Hendricks,205.0,1988-05-10,6.0,3.0
1332,Joe Hernandez,,,,
1333,Alexander Hernandez,155.0,1992-10-01,5.0,9.0
1334,Anthony Hernandez,185.0,1993-10-18,6.0,0.0
1335,Nohelin Hernandez,135.0,1994-03-01,5.0,10.0
1336,Paul Herrera,185.0,1964-02-21,5.0,10.0
1337,Chris Herrera,185.0,,5.0,10.0
1338,Alvaro Herrera Mendoza,155.0,1990-05-14,6.0,0.0
1339,Geane Herrera,125.0,1990-05-27,5.0,5.0
1340,Ramiro Hernandez,135.0,1986-07-22,5.0,9.0
1341,Felice Herrig,115.0,1984-09-18,5.0,4.0
1342,Jon Hess,295.0,,6.0,7.0
1343,Heath Herring,250.0,1978-03-02,6.0,4.0
1344,Clint Hester,205.0,1986-11-21,6.0,2.0
1345,Brandon Hester,205.0,,6.0,1.0
1346,Conor Heun,155.0,1979-02-11,5.0,10.0
1347,Marcus Hicks,155.0,1975-11-25,5.0,6.0
1348,Jimy Hettes,145.0,1987-06-09,5.0,9.0
1349,Lee Higgins,155.0,1980-07-14,,
1350,Jay Hieron,170.0,1976-07-29,6.0,0.0
1351,Jason High,155.0,1981-10-12,5.0,8.0
1352,Richie Hightower,170.0,1974-11-26,5.0,8.0
1353,Isaiah Hill,155.0,,5.0,10.0
1354,Alex Higley,145.0,,5.0,10.0
1355,Jamahal Hill,205.0,1991-05-19,6.0,4.0
1356,Kailan Hill,185.0,1994-12-01,6.0,1.0
1357,Angela Hill,115.0,1985-01-12,5.0,3.0
1358,Branden Lee Hinkle,235.0,1973-07-29,6.0,3.0
1359,Hatsu Hioki,145.0,1983-07-18,5.0,11.0
1360,Tyler Hill,170.0,1991-08-10,6.0,3.0
1361,Kuniyoshi Hironaka,168.0,1976-06-17,5.0,10.0
1362,Mizuto Hirota,155.0,1981-05-05,5.0,7.0
1363,Alan Hiro,135.0,1986-04-04,5.0,5.0
1364,Corey Hill,155.0,1978-10-03,6.0,4.0
1365,Matt Hobar,135.0,1987-01-07,5.0,10.0
1366,Kwan Ho Kwak,135.0,1989-06-18,5.0,5.0
1367,Yuji Hisamatsu,185.0,1971-09-18,5.0,10.0
1368,Sam Hoger,205.0,1980-06-28,6.0,2.0
1369,Bobby Hoffman,245.0,1968-10-28,6.0,2.0
1370,Kevin Holland,185.0,1992-11-05,6.0,3.0
1371,Andrew Holbrook,155.0,1986-02-06,5.0,11.0
1372,Sean Holden,170.0,1984-09-17,5.0,10.0
1373,Chris Holdsworth,135.0,1987-10-24,5.0,11.0
1374,Roger Hollett,205.0,1978-10-08,5.0,11.0
1375,Jeremie Holloway,170.0,1984-09-29,6.0,0.0
1376,Gabrielle Holloway,145.0,1990-04-15,5.0,3.0
1377,Max Holloway,145.0,1991-12-04,5.0,11.0
1378,Holly Holm,135.0,1981-10-17,5.0,8.0
1379,Rex Holman,205.0,,6.0,3.0
1380,Kurt Holobaugh,155.0,1986-09-08,5.0,11.0
1381,Paddy Holohan,125.0,1988-05-03,5.0,10.0
1382,Ben Holscher,155.0,,5.0,11.0
1383,Mark Holst,155.0,1985-08-14,6.0,0.0
1384,Scott Holtzman,155.0,1983-09-30,5.0,9.0
1385,Sabah Homasi,170.0,1988-10-19,6.0,0.0
1386,Barb Honchak,125.0,1979-08-30,5.0,4.0
1387,Mark Hominick,145.0,1982-07-22,5.0,8.0
1388,Chris Honeycutt,170.0,1988-07-25,5.0,10.0
1389,Satoshi Honma,205.0,1968-05-19,6.0,1.0
1390,David Hood,200.0,,6.0,0.0
1391,Lorenzo Hood,265.0,1989-03-02,6.0,3.0
1392,Chase Hooper,145.0,1999-09-13,6.0,1.0
1393,Dan Hooker,155.0,1990-02-13,6.0,0.0
1394,Moti Horenstein,230.0,1964-03-23,6.0,4.0
1395,Yoshinori Horie,145.0,1995-05-10,5.0,8.0
1396,Kyoji Horiguchi,125.0,1990-10-12,5.0,5.0
1397,Matt Horning,125.0,1976-08-18,5.0,4.0
1398,Chris Horodecki,155.0,1987-09-24,5.0,9.0
1399,Jeremy Horn,185.0,1975-08-25,6.0,1.0
1400,Jamey-Lyn Horth,125.0,1990-03-30,5.0,7.0
1401,Matt Horwich,185.0,1978-10-02,6.0,1.0
1402,John Hosman,135.0,1980-11-13,5.0,10.0
1403,Saeed Hosseini,,,,
1404,Jeff Hougland,135.0,1978-08-02,5.0,7.0
1405,Trey Houston,185.0,1988-06-08,5.0,11.0
1406,Jamie Houston,185.0,,,
1407,Darrell Horcher,155.0,1987-07-28,5.0,10.0
1408,Brian Houston,185.0,1981-04-26,6.0,2.0
1409,John Howard,170.0,1983-03-01,5.0,7.0
1410,Carlos Huachin,135.0,1996-06-04,5.0,4.0
1411,Harold Howard,240.0,,6.0,2.0
1412,Shane Howell,125.0,1983-11-28,5.0,8.0
1413,Brady Huang,135.0,1992-12-16,5.0,9.0
1414,Alex Huddleston,254.0,1986-08-11,6.0,7.0
1415,Collin Huckbody,185.0,1994-09-29,6.0,3.0
1416,Austin Hubbard,155.0,1991-12-22,5.0,10.0
1417,Jeff Hughes,250.0,1988-05-17,6.0,2.0
1418,Mark Hughes,205.0,1973-10-13,5.0,9.0
1419,Matt Hughes,170.0,1973-10-13,5.0,9.0
1420,Roger Huerta,155.0,1983-05-20,5.0,9.0
1421,Casey Huffman,185.0,,6.0,3.0
1422,Sam Hughes,115.0,1992-06-28,5.0,5.0
1423,Bryan Humes,265.0,,,
1424,Abongo Humphrey,205.0,1977-05-27,5.0,11.0
1425,Harry Hunsucker,241.0,1989-01-03,6.0,2.0
1426,Adam Hunter,185.0,1983-10-16,6.0,1.0
1427,Mark Hunt,265.0,1974-03-23,5.0,10.0
1428,Alex Hunter,226.0,,5.0,9.0
1429,Joe Hurley,155.0,1978-06-24,5.0,8.0
1430,Khadis Ibragimov,205.0,1995-05-21,6.0,3.0
1431,Al Iaquinta,155.0,1987-04-30,5.0,10.0
1432,David Hulett,170.0,1980-09-07,5.0,10.0
1433,Valeri Ignatov,170.0,,5.0,9.0
1434,Minoki Ichihara,178.0,1968-06-30,5.0,7.0
1435,Sergey Ignatov,210.0,1971-10-13,5.0,9.0
1436,Dan Ige,145.0,1991-08-06,5.0,7.0
1437,Fabiano Iha,155.0,1970-07-28,5.0,8.0
1438,Seichi Ikemoto,168.0,1975-08-24,5.0,11.0
1439,Mikhail Iloukhine,205.0,1966-11-21,5.0,9.0
1440,Zelim Imadaev,170.0,1995-01-25,6.0,0.0
1441,Yusuke Imamura,220.0,1976-08-08,5.0,8.0
1442,Masakazu Imanari,139.0,1976-02-10,5.0,4.0
1443,Nassourdine Imavov,185.0,1995-03-01,6.0,3.0
1444,Solomon Hutcherson,185.0,1972-08-31,5.0,11.0
1445,Brad Imes,265.0,1977-03-13,6.0,7.0
1446,Chris Inman,,,,
1447,Chris Indich,170.0,1987-04-22,5.0,10.0
1448,Guto Inocente,205.0,1986-05-29,6.0,3.0
1449,Enson Inoue,210.0,1967-04-15,5.0,10.0
1450,Egan Inoue,190.0,1965-07-04,5.0,9.0
1451,Katsuya Inoue,168.0,1979-08-10,5.0,9.0
1452,Takeshi Inoue,145.0,1980-03-18,5.0,8.0
1453,Naoki Inoue,125.0,1997-06-14,5.0,9.0
1454,Inoue Mizuki,125.0,1994-08-19,5.0,3.0
1455,Jorge Interiano,205.0,,6.0,1.0
