id,fighter_name,weight_pounds,date_of_birth,height_feet,height_inches
169,Abu Azaitar,185.0,1986-03-10,5.0,9.0
170,Javy Ayala,265.0,1988-08-20,6.0,1.0
171,Jessin Ayari,155.0,1992-05-31,6.0,0.0
172,Luiz Azeredo,154.0,1976-06-10,5.0,9.0
173,Ottman Azaitar,155.0,1990-02-20,5.0,8.0
174,Luciano Azevedo,161.0,1981-06-25,6.0,3.0
175,Hunter Azure,145.0,1992-03-02,5.0,8.0
176,Niklas Backstrom,145.0,1989-08-22,6.0,1.0
177,Izabela Badurek,115.0,1991-07-11,5.0,5.0
178,Miguel Baeza,170.0,1992-08-23,6.0,2.0
179,Ali Bagautinov,125.0,1985-06-10,5.0,4.0
180,Seth Baczynski,170.0,1981-10-26,6.0,3.0
181,Ryan Bader,205.0,1983-06-07,6.0,2.0
182,Mehdi Baghdad,155.0,1985-04-13,6.0,1.0
183,Melsik Baghdasaryan,145.0,1992-01-28,5.0,9.0
184,Siyar Bahadurzada,170.0,1984-04-17,5.0,11.0
185,Ignacio Bahamondes,170.0,1997-08-27,6.0,3.0
186,Stephen Banaszak,145.0,1990-12-07,6.0,0.0
187,Jordan Bailey,145.0,,5.0,9.0
188,Bryan Baker,185.0,1985-10-13,6.0,3.0
189,Oluwale Bamgbose,185.0,1987-08-04,5.0,11.0
190,Shamar Bailey,155.0,1982-09-22,5.0,9.0
191,Scott Baker,210.0,,6.0,0.0
192,Marcin Bandel,155.0,1989-10-10,5.0,10.0
193,Humberto Bandenay,145.0,1994-09-04,5.0,11.0
194,Tae Hyun Bang,155.0,1983-04-15,5.0,9.0
195,Maycee Barber,125.0,1998-05-18,5.0,5.0
196,Yohan Banks,,,,
197,Junior Barata,170.0,1982-01-25,5.0,10.0
198,Antonio Banuelos,135.0,1979-09-23,5.0,5.0
199,Bryan Barberena,170.0,1989-05-03,6.0,0.0
200,Renan Barao,145.0,1987-01-31,5.0,6.0
201,Edson Barboza,145.0,1986-01-21,5.0,11.0
202,Nick Barnes,170.0,,5.0,11.0
203,James Barnes,145.0,1982-05-28,5.0,8.0
204,Raoni Barcelos,135.0,1987-05-01,5.0,7.0
205,Luke Barnatt,185.0,1988-04-13,6.0,6.0
206,Chris Barnhizer,,1987-10-25,,
207,David Baron,155.0,1973-02-15,5.0,6.0
208,Phil Baroni,170.0,1976-04-16,5.0,9.0
209,Josh Barnett,250.0,1977-11-10,6.0,3.0
210,Carlos Barreto,230.0,1968-07-22,6.0,4.0
211,Jose Barreto,185.0,,,
212,Dan Barrera,170.0,1980-12-23,5.0,9.0
213,Peter Barrett,145.0,1986-08-10,5.0,10.0
214,David Barrios,145.0,,5.0,6.0
215,Marc-Andre Barriault,185.0,1990-02-18,6.0,1.0
216,Alexandre Barros,170.0,1976-11-19,5.0,9.0
217,Ricardo Barros,205.0,1976-03-22,6.0,1.0
218,Francimar Barroso,205.0,1980-02-28,6.0,1.0
219,Dean Barry,155.0,1992-03-07,,
220,Enrique Barzola,145.0,1989-04-28,5.0,7.0
221,Stephen Bass,145.0,1982-11-14,5.0,9.0
222,Pat Barry,235.0,1979-07-07,5.0,11.0
223,Sean Bassett,155.0,,,
224,Ryan Bastianelli,135.0,1979-09-07,5.0,5.0
225,Shayna Baszler,135.0,1980-08-08,5.0,7.0
226,Batgerel Danaa,135.0,1989-07-04,5.0,7.0
227,Michel Batista,260.0,1984-04-20,6.0,3.0
228,Alan Baudot,243.0,1988-02-01,6.0,3.0
229,Mario Bautista,135.0,1993-07-01,5.0,9.0
230,Chris Beal,125.0,1985-08-06,5.0,7.0
231,Rudy Bears,170.0,1979-01-19,5.0,11.0
232,Salvador Becerra,155.0,,5.0,9.0
233,Ariel Beck,125.0,1990-09-16,5.0,6.0
234,Jeff Bedard,145.0,1970-02-06,5.0,6.0
235,Eric Bedard,239.0,1984-09-11,6.0,2.0
236,Lyle Beerbohm,155.0,1979-02-05,5.0,10.0
237,Chase Beebe,135.0,1985-03-29,5.0,7.0
238,Johnny Bedford,135.0,1983-01-06,5.0,10.0
239,Mirsad Bektic,145.0,1991-02-16,5.0,8.0
240,Diana Belbita,125.0,1996-06-26,5.0,7.0
241,Alan Belcher,185.0,1984-04-24,6.0,2.0
242,Danilo Belluardo,155.0,1994-07-21,6.0,0.0
243,Vitor Belfort,185.0,1977-04-01,6.0,0.0
244,Joey Beltran,185.0,1981-12-08,6.0,1.0
245,Marco Beltran,125.0,1986-05-18,5.0,8.0
246,Mike Bencic,215.0,1966-07-03,6.0,0.0
247,Joseph Benavidez,125.0,1984-07-31,5.0,4.0
248,Karla Benitez,113.0,1979-02-15,5.0,3.0
249,Dave Beneteau,250.0,,6.0,2.0
250,Gabriel Benitez,155.0,1988-06-15,5.0,8.0
251,DeAnna Bennett,125.0,1984-11-18,5.0,4.0
252,Josh Bennett,259.0,,6.0,4.0
253,Charles Bennett,155.0,1979-11-23,5.0,8.0
254,Lance Benoist,170.0,1988-08-26,5.0,11.0
255,Joe Benoit,170.0,1982-03-12,5.0,9.0
256,Pat Benson,155.0,1974-07-14,5.0,9.0
257,Ryan Benoit,125.0,1989-08-25,5.0,5.0
258,Len Bentley,155.0,1982-11-30,5.0,9.0
259,Kenneth Bergh,205.0,1989-06-26,6.0,2.0
260,Steve Berger,170.0,1973-05-20,5.0,11.0
261,Bret Bergmark,170.0,1973-11-24,5.0,9.0
262,Keith Berish,205.0,1985-11-14,6.0,0.0
263,Dennis Bermudez,155.0,1986-12-13,5.0,6.0
264,Dave Berry,,,,
265,Talita Bernardo,135.0,1987-03-04,5.0,4.0
266,Manny Bermudez,145.0,1994-07-16,5.0,10.0
267,Keith Berry,185.0,1987-10-25,6.0,1.0
268,Dieusel Berto,200.0,,5.0,9.0
269,Edson Berto,155.0,1983-07-05,5.0,6.0
270,Allen Berube,155.0,1974-08-25,5.0,8.0
271,Anton Berzin,205.0,1989-09-29,6.0,2.0
272,Khadzhi Bestaev,185.0,1988-07-16,6.0,6.0
273,Matt Bessette,145.0,1984-12-28,5.0,10.0
274,Scott Bessac,245.0,1965-10-05,6.0,4.0
275,Fernando Bettega,170.0,1980-03-10,,
